	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
Fermentations:_Lactate	75217	63488	60523	65659	62138	73154	32915	0	63227	0	0	18194	0	43855	9097	0	0	0	70066	63040	0	0	0	49075	0	0	41992	0	63007	0	13645.5	28488.2333333333	30496.2729024987	116.60393984723	1.71986506462972e-11	1.30365771898933e-08	3.52339924051169e-10
Tellurite_resistance:_Chromosomal_determinants	5892	6717	6079	4974	8892	6742	3268	17	4351	92	3533	3977	8215	3942	4413	5	296	0	6067	5299	0	17	0	5377	19	0	2325	2700	6447	2333	3737.5	3399.63333333333	2836.5525516304	110.420548060731	3.18685638115878e-11	2.41563713691836e-08	6.17407489590539e-10
Lipopolysaccharide_assembly_cluster	25069	26629	25705	22609	25627	28753	0	0	23665	0	0	0	4654	0	3584	0	0	0	25928	23438	0	0	0	0	0	0	8122	1878	21271	7300	939	9141.06666666667	11563.2513711008	110.286648682864	3.23069456018831e-11	2.44886647662274e-08	6.17407489590539e-10
CBSS-393131.3.peg.612	33304	33416	30860	29696	31787	35928	22447	0	30471	0	25433	34502	45290	20731	27054	0	0	0	36209	31043	0	0	0	22951	0	0	16535	19289	28657	16146	22699	19058.3	14943.5688350403	110.203965819437	3.25808701630891e-11	2.46962995836216e-08	6.17407489590539e-10
CBSS-326442.4.peg.1852	58524	67865	59825	55124	65699	66598	33738	0	49632	0	35907	57477	89189	35907	42810	0	0	0	67218	56176	0	0	0	38366	0	0	35182	31302	49172	30853	35907	34218.8	27715.79500922	109.816561235623	3.38978908298823e-11	2.56946012490508e-08	6.26697591440264e-10
Methanogenesis_strays	5772	3449	2257	4230	5089	4790	2373	0	3523	0	3713	4503	3994	2965	1628	0	0	0	5479	4494	0	0	0	645	0	0	2538	3318	4401	2405	2471.5	2385.53333333333	2026.13998109422	108.008746385804	4.08445761019844e-11	3.09601886853042e-08	7.34574468180619e-10
Fermentations:_Mixed_acid	167422	150931	143578	144881	151105	174639	0	0	146834	0	0	0	0	99331	71779	0	0	0	163606	147210	0	0	0	0	0	0	82605	0	140923	69651	0	61816.5	71356.1957094175	107.815897926323	4.16711109917765e-11	3.15867021317666e-08	7.34574468180619e-10
pyrimidine_conversions	145513	146944	131246	124157	173545	178041	69481	0	119746	0	64941	119124	217453	78437	90784	0	0	0	179076	119992	0	0	0	105606	0	0	80787	69052	120758	80167	80477	80495	67470.9440901326	101.797608873343	7.90363689350147e-11	5.99095676527411e-08	1.35898937101482e-09
tRNAmodification_position_34	142124	135460	124582	120779	132262	148070	84145	0	123802	0	83533	150031	194921	79984	107600	0	0	0	153811	123142	0	0	0	84826	0	0	85592	75482	118788	84002	84485.5	78431.2	62035.2240749365	101.60876552062	8.0678788516711e-11	6.11545216956669e-08	1.35898937101482e-09
MLST	73167	66866	60351	53400	73764	75413	26537	0	47827	0	18229	25105	89809	29661	30759	0	0	0	80092	59450	0	0	0	46879	0	0	22867	11675	61244	7639	25821	32024.4666666667	30592.047296229	100.520692330898	9.08831917224012e-11	6.88894593255801e-08	1.49759694186044e-09
CBSS-243265.1.peg.198	35623	36221	33737	31585	33976	38668	24507	0	32639	0	27603	36531	50858	21988	30047	0	0	0	38240	33115	0	0	0	25933	0	0	17264	20765	30812	16877	25220	20566.3	16196.2005530671	99.6082832969532	1.00507787702818e-10	7.6184903078736e-08	1.62095538465396e-09
L-fucose_utilization	7029	6554	6316	8604	9957	10889	5446	55562	8547	60105	8477	15372	24361	4374	22751	66775	64038	57407	9040	7163	58852	55690	61673	21324	54304	50940	5913	10247	5573	6271	10568	26318.4666666667	23817.3214521286	97.6678258673784	1.24805433030261e-10	9.46025182369378e-08	1.97088579660287e-09
Gram-Positive_Extracellular_Nucleases	2954	2635	2600	2057	1913	1893	904	0	986	0	1796	1373	1316	2226	901	0	0	24	3270	1378	0	0	0	1773	0	0	1160	662	2185	1177	1168.5	1172.76666666667	1029.23365141031	97.4665818799528	1.27664351886007e-10	9.67695787295931e-08	1.97488936182843e-09
Queuosine-Archaeosine_Biosynthesis	97399	93165	86907	81766	86529	102883	63716	0	94079	0	55602	87142	143635	53645	62861	0	0	0	103612	74302	0	0	0	70263	0	0	54980	54509	84306	54599	59231.5	53530	42687.7391877986	96.3569142895053	1.44742121488155e-10	1.09714528088021e-07	2.16625025409312e-09
Extracellular_Polysaccharide_Biosynthesis_of_Streptococci	5726	6838	5756	3888	5546	5383	2807	268	2868	58	2961	3374	3855	5010	2529	100	76	231	8942	3172	22	138	111	4656	19	162	3252	2306	5312	4104	3066.5	2982.33333333333	2464.69723024586	96.2958521053714	1.45750346911279e-10	1.10478762958749e-07	2.16625025409312e-09
Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family)	43335	50658	49038	44096	46953	52960	33387	0	39800	0	35818	0	64504	26381	41791	0	0	0	52630	46988	0	0	0	34396	0	0	28173	32747	36079	29613	33067	26311.5666666667	21833.3665903318	95.7792170989261	1.54588154641166e-10	1.17177821218004e-07	2.24914431074868e-09
Threonine_anaerobic_catabolism_gene_cluster	48561	45598	42677	43116	44897	52012	0	0	45199	0	2356	3777	0	29269	3381	0	0	0	47979	46142	0	0	0	36497	0	0	27043	0	40962	0	2868.5	18648.8666666667	21582.5811944747	95.6291260695562	1.57262069221214e-10	1.1920464846968e-07	2.24914431074868e-09
Glutathionylspermidine_and_Trypanothione	9365	14644	13023	9315	15618	15150	3232	70	7732	136	4264	8664	13700	5395	10381	0	1023	0	13811	10413	0	29	0	9734	64	0	4949	5782	7693	4963	5588.5	6305	5458.76854244618	94.3238054551679	1.82719453566988e-10	1.38501345803777e-07	2.56483973710698e-09
Anaerobic_Oxidative_Degradation_of_L-Ornithine	5781	4803	2690	4531	5701	5533	712	0	3556	0	1942	2647	991	872	146	0	0	0	7623	5188	0	0	0	1240	0	0	87	1153	4416	111	931.5	1990.76666666667	2360.47208433388	92.7406112335852	2.19668644676945e-10	1.66508832665124e-07	3.02743332118408e-09
Macromolecular_synthesis_operon	126443	115025	113999	112210	96064	124813	96021	0	117779	0	95466	133242	160506	76945	99842	0	0	0	118031	114264	0	0	0	111464	0	0	72058	71490	109717	71805	95743.5	71239.4666666667	54418.2937893786	92.566263861633	2.24202764109518e-10	1.69945695195015e-07	3.03474455705383e-09
Heme,_hemin_uptake_and_utilization_systems_in_GramPositives	14658	12433	10944	11224	14175	14202	9965	0	9548	0	4805	10682	16969	9076	4921	0	0	0	15048	12076	0	0	0	12278	0	0	11837	8103	11272	11373	9756.5	7519.63333333333	5956.33519866458	91.8622961672453	2.43556618432128e-10	1.84615916771553e-07	3.23887573283426e-09
Glycine_and_Serine_Utilization	107592	108858	96246	84512	97470	123425	70182	0	107786	0	55176	80747	132269	57369	53252	0	79964	0	115493	88899	0	0	0	81117	0	0	47849	65083	102423	47133	67632.5	60094.8333333333	45260.6221048285	90.6320486139872	2.81811071134311e-10	2.13612791919808e-07	3.68297917103117e-09
Conjugative_transposon,_Bacteroidales	4785	1473	6439	3236	6116	6704	10593	164969	8085	168622	8747	22299	20730	1166	17858	187829	177440	208953	5280	5790	178117	193313	152295	2819	157822	152293	9831	9486	4361	9618	9724.5	63568.9666666667	80357.4484303741	89.6657198342612	3.16368107688578e-10	2.39807025627942e-07	4.06452585810072e-09
HPr_catabolite_repression_system	12661	10017	8502	9736	10980	10904	0	0	7457	0	0	0	0	8357	4376	0	0	0	12190	9041	0	0	0	0	0	0	4720	0	10170	4616	0	4124.23333333333	4838.20898526071	89.241832386658	3.32935815560831e-10	2.5236534819511e-07	4.20608913658517e-09
Phage_DNA_synthesis	12135	13104	12109	10200	12666	14089	0	0	4854	0	0	0	0	0	5099	0	0	0	12562	10395	0	0	0	4978	0	0	4309	0	10062	4190	0	4358.4	5369.99254221533	85.0664407663781	5.56112757302638e-10	4.215334700354e-07	6.91038475467868e-09
CBSS-176299.4.peg.1996B	70105	64941	59746	51360	60029	69957	58655	0	65828	0	42199	56962	100588	36886	52160	0	0	0	70805	54696	0	0	0	54257	0	0	29427	32941	60230	42549	46954.5	37810.7	30105.4290397184	83.7847904614897	6.5347434654742e-10	4.95333554682944e-07	7.98925088198297e-09
Branched-Chain_Amino_Acid_Biosynthesis	182340	184932	174618	166841	173095	201472	144759	0	181372	0	144357	229266	266759	110468	159234	0	0	0	203460	185925	0	0	0	145295	0	0	94101	126633	155596	98575	144558	110969.933333333	86853.5719055585	83.3278031969167	6.92481966928959e-10	5.24901330932151e-07	8.33176715765319e-09
CBSS-257314.1.peg.752	30620	29643	26490	28286	26428	31274	0	0	22955	0	0	0	0	0	0	0	0	0	28724	22679	0	0	0	0	0	0	0	0	25886	14507	0	9583.06666666667	13112.815907725	82.7751625208993	7.43017938720503e-10	5.63207597550142e-07	8.80011871172096e-09
RuvABC_plus_a_hypothetical	34830	31925	29199	32112	35276	34877	28237	0	34144	0	29911	44374	48572	17110	25985	0	0	0	34916	34747	0	0	0	19919	0	0	21945	23288	29583	21678	24636.5	20420.9333333333	15987.9111743698	80.4103248731346	1.00849819623972e-09	7.64441632749705e-07	1.17606405038416e-08
Xyloglucan_Utilization	0	0	0	0	0	0	0	26350	0	29519	0	0	0	0	0	33186	28434	28386	0	0	28893	29720	29033	0	25113	22828	0	0	0	0	0	9382.06666666667	13586.6895461326	79.6588113660095	1.11289280973657e-09	8.43572749780317e-07	1.27814052997018e-08
Ethanolamine_utilization	66624	55477	46367	54051	54162	61368	0	0	48356	0	0	0	0	35737	10083	0	19417	0	65574	58196	0	0	0	0	0	0	37419	0	54629	27863	5041.5	23177.4333333333	26335.5783549271	79.4558747079416	1.14302841813168e-09	8.66415540943815e-07	1.29315752379674e-08
Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	136016	132957	125619	132346	123110	142508	98464	0	137054	0	42821	126035	196100	70517	96434	0	87779	0	147498	133301	0	0	0	85751	0	0	69798	92062	117277	68190	89920.5	78721.2333333333	59967.2542445736	78.5012740888397	1.29700056796949e-09	9.83126430520872e-07	1.44577416253069e-08
Cobalt-zinc-cadmium_resistance	12240	9813	7972	9847	11748	11595	4643	0	8156	0	0	0	8975	8077	0	0	0	0	11593	8233	0	0	0	0	0	0	0	0	9831	6569	0	4309.73333333333	4905.0320673375	76.2552502653379	1.75415175132453e-09	1.32964702750399e-06	1.92702467754202e-08
Tryptophan_catabolism	17293	13815	13143	14220	12750	15698	12221	6153	12443	2972	10004	12724	18717	11698	5721	0	5262	5805	13180	14138	0	0	0	13859	0	0	6942	7733	15122	6674	10851	8942.9	5917.79674372143	74.9786956055832	2.0887179279734e-09	1.58324818940384e-06	2.26178312771977e-08
Ribonucleotide_reductase_cluster	47366	35758	45797	35132	40141	42026	29021	0	45022	12101	33244	50286	63800	22487	34968	0	8603	0	43373	41803	0	0	0	28192	0	0	31249	29560	38636	30526	30887.5	26303.0333333333	19205.3482753675	74.5370126379187	2.21989905095621e-09	1.6826834806248e-06	2.36997673327437e-08
Unknown_carbohydrate_utilization_(_cluster_Ydj_)	22705	22817	20394	19178	20802	22417	15719	4008	16530	3615	17485	23422	30146	14665	15165	6017	5454	4783	21905	19169	3069	4312	6077	14686	5537	0	12201	14720	18557	11914	14942.5	13915.6333333333	7884.01644745102	73.5915881958531	2.53132745619353e-09	1.91874621179469e-06	2.6649252941593e-08
Vibrio_Polysaccharide_(VPS)_Biosynthesis	21061	19105	20864	21269	18450	12207	9957	0	0	0	9152	13530	16515	6597	8910	0	0	0	16632	24417	0	0	0	8284	0	0	14900	7225	17075	14132	9031	9342.73333333333	8378.11228402187	71.6143427264849	3.34466809527938e-09	2.53525841622177e-06	3.47295673455037e-08
Cinnamic_Acid_Degradation	17293	13815	13143	14220	12750	15698	12221	6157	12443	2972	10004	12724	18717	11698	5721	0	6545	5805	13180	14138	0	2193	0	13859	1281	0	6942	7733	15122	6674	10851	9101.6	5727.51133655315	71.1545865750879	3.57140777721809e-09	2.70712709513131e-06	3.65827985828556e-08
Cell_division-ribosomal_stress_proteins_cluster	170926	160593	149257	150905	155580	177153	126793	0	149545	0	139569	191339	238462	0	128486	0	0	0	176752	156311	0	0	0	125638	0	0	95566	109128	144116	94189	126215.5	94676.9333333333	78075.4706121311	70.6175749228885	3.85729817401349e-09	2.92383201590223e-06	3.83615952666878e-08
De_Novo_Purine_Biosynthesis	244943	243195	218107	217778	214013	257422	207896	0	216165	0	182597	261966	387780	141213	210346	0	0	0	255548	225974	0	0	0	185674	0	0	142891	168359	210280	140449	184135.5	144419.866666667	113033.311039111	70.5882513657688	3.87359973272622e-09	2.93618859740648e-06	3.83615952666878e-08
DNA_structural_proteins,_bacterial	19413	30957	31211	18066	34661	33048	7190	0	16597	1548	10147	17902	33217	10656	22689	0	1804	0	26981	19906	0	0	0	22537	0	0	10718	12980	15653	10460	11849	13611.3666666667	11932.3777596442	70.5465845427752	3.89689028434692e-09	2.95384283553496e-06	3.83615952666878e-08
Serine_Biosynthesis	29437	41650	41872	27376	39064	45459	21241	0	29988	22973	21021	31888	39269	17654	20588	0	25233	0	45666	28276	0	0	0	27100	0	0	16106	17886	33884	15652	22107	21309.4333333333	15443.6797801099	70.1955777984237	4.09915582695375e-09	3.10716011683094e-06	3.98353861132172e-08
Transcription_initiation,_bacterial_sigma_factors	34317	37164	37065	33335	34883	38787	33608	0	30187	0	0	0	0	17469	35201	0	0	0	34951	36520	0	0	0	30827	0	0	0	26339	29427	0	8734.5	16336	17028.850760016	70.0432876896191	4.1903863243498e-09	3.17631283385715e-06	4.0206491567812e-08
Glycogen_metabolism	138171	132669	105725	122162	136560	151873	76229	0	87880	0	101853	144425	171862	74797	81551	0	72260	0	153075	127994	53727	0	0	100601	0	0	67227	79653	112387	66577	80602	78641.9333333333	56167.7311347271	69.6884038616485	4.41153553573947e-09	3.34394393609052e-06	4.17992992011315e-08
Translation_termination_factors_bacterial	98689	106538	98144	81938	99400	117107	69934	0	93060	0	71400	104853	141766	48960	76418	0	0	70532	102277	84037	0	0	0	79001	0	0	51259	57130	93963	50311	70966	59890.5666666667	44486.2135805778	69.5414038690517	4.50677504145992e-09	3.41613548142662e-06	4.2174512116378e-08
Propanediol_utilization	28488	24037	20050	22850	28401	30930	2619	0	30307	0	9499	9643	43585	11570	4897	0	0	0	31592	24492	0	0	0	19491	0	0	20307	6509	23706	9422	9571	13413.1666666667	13036.7518513368	69.091274265838	4.81237013815189e-09	3.64777656471914e-06	4.44850800575504e-08
Pentose_phosphate_pathway	124077	124790	108353	112350	121565	137667	83616	0	108338	0	85025	137523	204171	72473	104999	0	0	0	126658	114610	0	0	0	106059	0	0	70369	79023	106096	69073	84320.5	73227.8333333333	58331.6666279299	68.8675402027062	4.972461437905e-09	3.76912576993199e-06	4.54111538546023e-08
Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	38654	37277	34438	37255	34231	39636	30665	0	36056	0	32568	48097	57409	24092	32412	0	0	0	43165	38463	0	0	0	26988	15527	0	25483	26877	32819	25388	28826.5	23916.6666666667	17603.6486330363	67.5556392747572	6.03373982305072e-09	4.57357478587245e-06	5.44473188794339e-08
At5g63420	111711	119016	109524	106534	111664	132311	90208	0	109160	0	86456	136472	158191	0	98412	0	0	0	116560	112060	0	0	0	88333	0	0	0	71775	104558	57859	87394.5	64026.8	56085.3128929798	66.5097278737122	7.05364269452675e-09	5.34666116245128e-06	6.29018960288385e-08
