	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	chi-squared_stat	p	bonferroni_p	BH_p
CBSS-243265.1.peg.198	35623	36221	33737	31585	33976	38668	24507	0	32639	0	27603	36531	50858	21988	30047	0	0	0	38240	33115	0	0	0	25933	0	0	17264	20765	30812	16877	25220	20566.3	16196.2005530671	22.8356581986143	1.0997648295869e-05	0.00833621740826872	0.00013568795544089
CBSS-393131.3.peg.612	33304	33416	30860	29696	31787	35928	22447	0	30471	0	25433	34502	45290	20731	27054	0	0	0	36209	31043	0	0	0	22951	0	0	16535	19289	28657	16146	22699	19058.3	14943.5688350403	22.8356581986143	1.0997648295869e-05	0.00833621740826872	0.00013568795544089
Scaffold_proteins_for_[4Fe-4S]_cluster_assembly_(MRP_family)	43335	50658	49038	44096	46953	52960	33387	0	39800	0	35818	0	64504	26381	41791	0	0	0	52630	46988	0	0	0	34396	0	0	28173	32747	36079	29613	33067	26311.5666666667	21833.3665903318	22.8174035087719	1.1098487120495e-05	0.00841265323733518	0.00013568795544089
Polyglycerolphosphate_lipoteichoic_acid_biosynthesis	8290	7039	6600	6324	7420	7047	4795	0	3384	21	5366	6051	7299	6002	4207	0	0	83	10128	7048	0	0	0	4790	0	0	5162	3495	6399	5145	4970	4069.83333333333	3205.42003362337	22.7634549988665	1.14019347798531e-05	0.00864266656312868	0.000137185183541725
Pentose_phosphate_pathway	124077	124790	108353	112350	121565	137667	83616	0	108338	0	85025	137523	204171	72473	104999	0	0	0	126658	114610	0	0	0	106059	0	0	70369	79023	106096	69073	84320.5	73227.8333333333	58331.6666279299	22.6668822170901	1.19660018481655e-05	0.00907022940090948	0.000137427718195598
Polyadenylation_bacterial	64004	64315	57493	58618	59639	69896	36403	0	58980	0	37928	64330	111879	38275	57430	0	0	0	68569	62155	0	0	0	50679	0	0	43442	48714	54642	42657	46078	38334.9333333333	30619.7073117538	22.6668822170901	1.19660018481655e-05	0.00907022940090948	0.000137427718195598
tRNAmodification_position_34	142124	135460	124582	120779	132262	148070	84145	0	123802	0	83533	150031	194921	79984	107600	0	0	0	153811	123142	0	0	0	84826	0	0	85592	75482	118788	84002	84485.5	78431.2	62035.2240749365	22.6668822170901	1.19660018481655e-05	0.00907022940090948	0.000137427718195598
Osmoregulation	5377	5573	6379	4457	12481	14139	2039	0	4967	0	239	0	2551	3135	745	0	0	0	4115	4846	0	0	0	7748	0	0	4952	1043	9891	4859	2295	3317.86666666667	3891.82784583404	22.6003274853801	1.23708984517461e-05	0.00937714102642353	0.000139229724841891
Protein_chaperones	129561	119988	104278	106387	116217	134485	97424	0	100855	0	91459	147432	208615	56046	93433	0	0	0	129228	101590	0	0	0	85488	0	0	76108	92592	113119	75021	92025.5	72644.2	58405.8497651238	22.5034642032332	1.29847871936035e-05	0.00984246869275146	0.000139229724841891
Universal_GTPases	394805	365459	329376	356852	355422	408469	319267	0	371116	0	313810	513560	593236	232845	318074	0	0	0	404566	374733	0	0	0	275539	0	0	275251	283880	332832	271492	298845	236352.8	183134.361781914	22.5034642032332	1.29847871936035e-05	0.00984246869275146	0.000139229724841891
Cobalt-zinc-cadmium_resistance	12240	9813	7972	9847	11748	11595	4643	0	8156	0	0	0	8975	8077	0	0	0	0	11593	8233	0	0	0	0	0	0	0	0	9831	6569	0	4309.73333333333	4905.0320673375	22.4884927916121	1.30823522064458e-05	0.00991642297248591	0.000139229724841891
Glutathionylspermidine_and_Trypanothione	9365	14644	13023	9315	15618	15150	3232	70	7732	136	4264	8664	13700	5395	10381	0	1023	0	13811	10413	0	29	0	9734	64	0	4949	5782	7693	4963	5588.5	6305	5458.76854244618	22.4378994413408	1.34175135815363e-05	0.0101704752948045	0.000139229724841891
Branched-Chain_Amino_Acid_Biosynthesis	182340	184932	174618	166841	173095	201472	144759	0	181372	0	144357	229266	266759	110468	159234	0	0	0	203460	185925	0	0	0	145295	0	0	94101	126633	155596	98575	144558	110969.933333333	86853.5719055585	22.3454041570439	1.40526147187299e-05	0.0106518819567973	0.000139229724841891
De_Novo_Purine_Biosynthesis	244943	243195	218107	217778	214013	257422	207896	0	216165	0	182597	261966	387780	141213	210346	0	0	0	255548	225974	0	0	0	185674	0	0	142891	168359	210280	140449	184135.5	144419.866666667	113033.311039111	22.3454041570439	1.40526147187299e-05	0.0106518819567973	0.000139229724841891
Extracellular_Polysaccharide_Biosynthesis_of_Streptococci	5726	6838	5756	3888	5546	5383	2807	268	2868	58	2961	3374	3855	5010	2529	100	76	231	8942	3172	22	138	111	4656	19	162	3252	2306	5312	4104	3066.5	2982.33333333333	2464.69723024586	22.338064516129	1.41042800349383e-05	0.0106910442664832	0.000139229724841891
C_jejuni_colonization_of_chick_caeca	21802	19756	24152	20804	19724	22298	2309	0	23762	0	0	5966	33912	12851	3490	0	0	0	22282	22150	0	0	0	16339	0	0	15713	0	19506	4538	5252	10378.4666666667	10782.4414250696	22.3235923022096	1.4206710264964e-05	0.0107686863808427	0.000139229724841891
Flagellar_motility	180	162	1151	373	42	61	59	0	264	0	0	25	0	158	88	0	0	0	77	222	0	0	0	3	0	0	30	76	143	19	27.5	104.433333333333	218.938455111104	22.3235923022096	1.4206710264964e-05	0.0107686863808427	0.000139229724841891
Conserved_gene_cluster_possibly_involved_in_RNA_metabolism	38654	37277	34438	37255	34231	39636	30665	0	36056	0	32568	48097	57409	24092	32412	0	0	0	43165	38463	0	0	0	26988	15527	0	25483	26877	32819	25388	28826.5	23916.6666666667	17603.6486330363	22.272	1.4577956484797e-05	0.0110500910154761	0.000139229724841891
Experimental-yggC	8305	9026	8288	8477	9635	9888	4787	0	7664	0	6028	0	10647	4702	7179	0	900	0	10608	8332	0	0	0	5942	15	0	4379	5177	6606	4216	4982	4693.36666666667	3944.53819230778	22.2481371428572	1.47529341221048e-05	0.0111827240645554	0.000139229724841891
Glycine_and_Serine_Utilization	107592	108858	96246	84512	97470	123425	70182	0	107786	0	55176	80747	132269	57369	53252	0	79964	0	115493	88899	0	0	0	81117	0	0	47849	65083	102423	47133	67632.5	60094.8333333333	45260.6221048285	22.21632	1.49895090233289e-05	0.0113620478396833	0.000139229724841891
Arginine_Deiminase_Pathway	35881	39079	36341	34464	41888	41140	14160	4979	32669	6010	15188	23496	0	16448	32111	3771	0	6850	43008	43501	4814	0	3247	0	0	0	10918	22684	29365	10828	14674	18428	16023.3554645969	22.2142600896861	1.50049554986705e-05	0.0113737562679923	0.000139229724841891
RuvABC_plus_a_hypothetical	34830	31925	29199	32112	35276	34877	28237	0	34144	0	29911	44374	48572	17110	25985	0	0	0	34916	34747	0	0	0	19919	0	0	21945	23288	29583	21678	24636.5	20420.9333333333	15987.9111743698	22.1927020785219	1.51675688282841e-05	0.0114970171718393	0.000139229724841891
Bacterial_signal_recognition_particle_(SRP)	43765	41344	38027	39051	37799	45172	40807	0	39945	0	24635	0	70288	25982	36668	0	0	0	44068	41295	0	0	0	31729	0	0	26425	31943	37594	26272	29077	24093.6333333333	20302.6910352966	22.1824561403509	1.52454711898113e-05	0.0115560671618769	0.000139229724841891
Teichuronic_acid_biosynthesis	8377	7102	7444	8043	5571	7303	0	18383	10517	20775	0	0	0	0	0	0	19073	20380	7150	7660	16395	16662	20473	0	24483	21667	0	0	7287	0	7295	8491.5	8342.91187382935	22.1824561403509	1.52454711898113e-05	0.0115560671618769	0.000139229724841891
Ribonucleotide_reductase_cluster	47366	35758	45797	35132	40141	42026	29021	0	45022	12101	33244	50286	63800	22487	34968	0	8603	0	43373	41803	0	0	0	28192	0	0	31249	29560	38636	30526	30887.5	26303.0333333333	19205.3482753675	22.090228973022	1.59649560210601e-05	0.0121014366639636	0.00014063644345034
Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	136016	132957	125619	132346	123110	142508	98464	0	137054	0	42821	126035	196100	70517	96434	0	87779	0	147498	133301	0	0	0	85751	0	0	69798	92062	117277	68190	89920.5	78721.2333333333	59967.2542445736	22.0837485714286	1.60167695821178e-05	0.0121407113432453	0.00014063644345034
CBSS-257314.1.peg.488	47177	50411	45505	42500	49124	50140	40473	0	42307	0	43603	61903	77063	28668	40414	0	0	0	47696	45453	0	0	0	34341	0	0	32153	35511	40593	32282	37962.5	29577.2333333333	23034.1968381396	22.0453579676674	1.63271860470052e-05	0.0123760070236299	0.00014063644345034
Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes	187625	170888	151131	168586	167694	198764	163270	0	187060	0	127698	211433	307279	102229	160319	0	0	0	194176	185822	0	0	0	129206	0	0	115063	128569	160585	113658	128887.5	111035.166666667	87900.3901776611	22.0453579676674	1.63271860470052e-05	0.0123760070236299	0.00014063644345034
Macromolecular_synthesis_operon	126443	115025	113999	112210	96064	124813	96021	0	117779	0	95466	133242	160506	76945	99842	0	0	0	118031	114264	0	0	0	111464	0	0	72058	71490	109717	71805	95743.5	71239.4666666667	54418.2937893786	22.0453579676674	1.63271860470052e-05	0.0123760070236299	0.00014063644345034
